After 500 sentences: Train Accuracy = 0.0092, Dev Accuracy = 0.0066, Time = 3.83s, Estimated Time Left = 110.89s
After 1000 sentences: Train Accuracy = 0.1661, Dev Accuracy = 0.1201, Time = 3.62s, Estimated Time Left = 101.25s
After 1500 sentences: Train Accuracy = 0.3025, Dev Accuracy = 0.2445, Time = 3.51s, Estimated Time Left = 94.72s
After 2000 sentences: Train Accuracy = 0.3887, Dev Accuracy = 0.3055, Time = 3.47s, Estimated Time Left = 90.15s
After 2500 sentences: Train Accuracy = 0.4844, Dev Accuracy = 0.3965, Time = 3.46s, Estimated Time Left = 86.36s
After 3000 sentences: Train Accuracy = 0.6067, Dev Accuracy = 0.4705, Time = 3.46s, Estimated Time Left = 82.93s
After 3500 sentences: Train Accuracy = 0.6305, Dev Accuracy = 0.5085, Time = 3.43s, Estimated Time Left = 78.89s
After 4000 sentences: Train Accuracy = 0.6328, Dev Accuracy = 0.5287, Time = 3.41s, Estimated Time Left = 74.85s
After 4500 sentences: Train Accuracy = 0.6701, Dev Accuracy = 0.5325, Time = 3.40s, Estimated Time Left = 71.27s
After 5000 sentences: Train Accuracy = 0.6755, Dev Accuracy = 0.5657, Time = 3.39s, Estimated Time Left = 67.76s
After 5500 sentences: Train Accuracy = 0.7186, Dev Accuracy = 0.5728, Time = 3.38s, Estimated Time Left = 64.10s
After 6000 sentences: Train Accuracy = 0.6847, Dev Accuracy = 0.5658, Time = 3.37s, Estimated Time Left = 60.60s
After 6500 sentences: Train Accuracy = 0.7264, Dev Accuracy = 0.5702, Time = 3.36s, Estimated Time Left = 57.02s
After 7000 sentences: Train Accuracy = 0.7456, Dev Accuracy = 0.5929, Time = 3.35s, Estimated Time Left = 53.55s
After 7500 sentences: Train Accuracy = 0.7658, Dev Accuracy = 0.6163, Time = 3.34s, Estimated Time Left = 50.06s
After 8000 sentences: Train Accuracy = 0.7691, Dev Accuracy = 0.6089, Time = 3.34s, Estimated Time Left = 46.67s
After 8500 sentences: Train Accuracy = 0.7642, Dev Accuracy = 0.6181, Time = 3.34s, Estimated Time Left = 43.29s
After 9000 sentences: Train Accuracy = 0.7611, Dev Accuracy = 0.5991, Time = 3.33s, Estimated Time Left = 39.89s
After 9500 sentences: Train Accuracy = 0.8209, Dev Accuracy = 0.6097, Time = 3.33s, Estimated Time Left = 36.56s
After 10000 sentences: Train Accuracy = 0.8344, Dev Accuracy = 0.6315, Time = 3.33s, Estimated Time Left = 33.24s
After 10500 sentences: Train Accuracy = 0.8240, Dev Accuracy = 0.6546, Time = 3.33s, Estimated Time Left = 29.91s
After 11000 sentences: Train Accuracy = 0.8169, Dev Accuracy = 0.6559, Time = 3.33s, Estimated Time Left = 26.56s
After 11500 sentences: Train Accuracy = 0.8271, Dev Accuracy = 0.6714, Time = 3.33s, Estimated Time Left = 23.22s
