After 500 sentences: Train Accuracy = 0.6877, Dev Accuracy = 0.6838, Time = 3.63s, Estimated Time Left = 270.75s
After 1000 sentences: Train Accuracy = 0.7929, Dev Accuracy = 0.7852, Time = 3.45s, Estimated Time Left = 254.49s
After 1500 sentences: Train Accuracy = 0.8338, Dev Accuracy = 0.8253, Time = 3.35s, Estimated Time Left = 243.24s
After 2000 sentences: Train Accuracy = 0.8509, Dev Accuracy = 0.8455, Time = 3.36s, Estimated Time Left = 240.92s
After 2500 sentences: Train Accuracy = 0.8693, Dev Accuracy = 0.8627, Time = 3.40s, Estimated Time Left = 240.06s
After 3000 sentences: Train Accuracy = 0.8774, Dev Accuracy = 0.8708, Time = 3.40s, Estimated Time Left = 236.80s
After 3500 sentences: Train Accuracy = 0.8904, Dev Accuracy = 0.8793, Time = 3.41s, Estimated Time Left = 233.98s
After 4000 sentences: Train Accuracy = 0.8981, Dev Accuracy = 0.8836, Time = 3.42s, Estimated Time Left = 231.34s
After 4500 sentences: Train Accuracy = 0.9004, Dev Accuracy = 0.8900, Time = 3.42s, Estimated Time Left = 228.26s
After 5000 sentences: Train Accuracy = 0.9051, Dev Accuracy = 0.8931, Time = 3.44s, Estimated Time Left = 225.79s
After 5500 sentences: Train Accuracy = 0.9001, Dev Accuracy = 0.8958, Time = 3.42s, Estimated Time Left = 221.17s
After 6000 sentences: Train Accuracy = 0.9025, Dev Accuracy = 0.8996, Time = 3.39s, Estimated Time Left = 215.53s
After 6500 sentences: Train Accuracy = 0.9204, Dev Accuracy = 0.8999, Time = 3.36s, Estimated Time Left = 210.83s
After 7000 sentences: Train Accuracy = 0.9150, Dev Accuracy = 0.8988, Time = 3.36s, Estimated Time Left = 207.24s
After 7500 sentences: Train Accuracy = 0.9236, Dev Accuracy = 0.9048, Time = 3.36s, Estimated Time Left = 203.59s
After 8000 sentences: Train Accuracy = 0.9119, Dev Accuracy = 0.9084, Time = 3.35s, Estimated Time Left = 200.17s
After 8500 sentences: Train Accuracy = 0.9167, Dev Accuracy = 0.9072, Time = 3.34s, Estimated Time Left = 196.22s
After 9000 sentences: Train Accuracy = 0.9300, Dev Accuracy = 0.9112, Time = 3.33s, Estimated Time Left = 191.88s
After 9500 sentences: Train Accuracy = 0.9165, Dev Accuracy = 0.9093, Time = 3.32s, Estimated Time Left = 188.30s
After 10000 sentences: Train Accuracy = 0.9291, Dev Accuracy = 0.9122, Time = 3.31s, Estimated Time Left = 184.37s
After 10500 sentences: Train Accuracy = 0.9247, Dev Accuracy = 0.9114, Time = 3.30s, Estimated Time Left = 180.66s
After 11000 sentences: Train Accuracy = 0.9272, Dev Accuracy = 0.9131, Time = 3.30s, Estimated Time Left = 176.90s
After 11500 sentences: Train Accuracy = 0.9341, Dev Accuracy = 0.9161, Time = 3.29s, Estimated Time Left = 173.22s
After 12000 sentences: Train Accuracy = 0.9282, Dev Accuracy = 0.9164, Time = 3.28s, Estimated Time Left = 169.62s
After 12500 sentences: Train Accuracy = 0.9331, Dev Accuracy = 0.9162, Time = 3.28s, Estimated Time Left = 166.10s
After 13000 sentences: Train Accuracy = 0.9265, Dev Accuracy = 0.9172, Time = 3.27s, Estimated Time Left = 162.47s
After 13500 sentences: Train Accuracy = 0.9290, Dev Accuracy = 0.9185, Time = 3.26s, Estimated Time Left = 158.87s
After 14000 sentences: Train Accuracy = 0.9329, Dev Accuracy = 0.9180, Time = 3.26s, Estimated Time Left = 155.58s
After 14500 sentences: Train Accuracy = 0.9315, Dev Accuracy = 0.9188, Time = 3.25s, Estimated Time Left = 151.84s
After 15000 sentences: Train Accuracy = 0.9323, Dev Accuracy = 0.9189, Time = 3.25s, Estimated Time Left = 148.33s
After 15500 sentences: Train Accuracy = 0.9400, Dev Accuracy = 0.9177, Time = 3.24s, Estimated Time Left = 144.78s
After 16000 sentences: Train Accuracy = 0.9370, Dev Accuracy = 0.9206, Time = 3.23s, Estimated Time Left = 141.10s
After 16500 sentences: Train Accuracy = 0.9384, Dev Accuracy = 0.9231, Time = 3.22s, Estimated Time Left = 137.47s
After 17000 sentences: Train Accuracy = 0.9366, Dev Accuracy = 0.9236, Time = 3.22s, Estimated Time Left = 133.98s
After 17500 sentences: Train Accuracy = 0.9366, Dev Accuracy = 0.9241, Time = 3.21s, Estimated Time Left = 130.52s
After 18000 sentences: Train Accuracy = 0.9428, Dev Accuracy = 0.9268, Time = 3.20s, Estimated Time Left = 127.07s
After 18500 sentences: Train Accuracy = 0.9375, Dev Accuracy = 0.9245, Time = 3.20s, Estimated Time Left = 123.70s
After 19000 sentences: Train Accuracy = 0.9460, Dev Accuracy = 0.9258, Time = 3.19s, Estimated Time Left = 120.32s
After 19500 sentences: Train Accuracy = 0.9408, Dev Accuracy = 0.9231, Time = 3.19s, Estimated Time Left = 117.10s
After 20000 sentences: Train Accuracy = 0.9435, Dev Accuracy = 0.9228, Time = 3.19s, Estimated Time Left = 113.82s
After 20500 sentences: Train Accuracy = 0.9421, Dev Accuracy = 0.9236, Time = 3.19s, Estimated Time Left = 110.60s
After 21000 sentences: Train Accuracy = 0.9501, Dev Accuracy = 0.9214, Time = 3.19s, Estimated Time Left = 107.38s
After 21500 sentences: Train Accuracy = 0.9494, Dev Accuracy = 0.9236, Time = 3.19s, Estimated Time Left = 104.11s
After 22000 sentences: Train Accuracy = 0.9509, Dev Accuracy = 0.9278, Time = 3.19s, Estimated Time Left = 100.92s
After 22500 sentences: Train Accuracy = 0.9523, Dev Accuracy = 0.9264, Time = 3.19s, Estimated Time Left = 97.72s
After 23000 sentences: Train Accuracy = 0.9515, Dev Accuracy = 0.9273, Time = 3.18s, Estimated Time Left = 94.44s
After 23500 sentences: Train Accuracy = 0.9547, Dev Accuracy = 0.9293, Time = 3.18s, Estimated Time Left = 91.26s
After 24000 sentences: Train Accuracy = 0.9556, Dev Accuracy = 0.9317, Time = 3.18s, Estimated Time Left = 87.93s
After 24500 sentences: Train Accuracy = 0.9585, Dev Accuracy = 0.9327, Time = 3.17s, Estimated Time Left = 84.64s
After 25000 sentences: Train Accuracy = 0.9534, Dev Accuracy = 0.9333, Time = 3.17s, Estimated Time Left = 81.37s
After 25500 sentences: Train Accuracy = 0.9517, Dev Accuracy = 0.9342, Time = 3.17s, Estimated Time Left = 78.13s
After 26000 sentences: Train Accuracy = 0.9564, Dev Accuracy = 0.9341, Time = 3.16s, Estimated Time Left = 74.87s
After 26500 sentences: Train Accuracy = 0.9533, Dev Accuracy = 0.9323, Time = 3.16s, Estimated Time Left = 71.66s
After 27000 sentences: Train Accuracy = 0.9594, Dev Accuracy = 0.9347, Time = 3.16s, Estimated Time Left = 68.41s
After 27500 sentences: Train Accuracy = 0.9591, Dev Accuracy = 0.9353, Time = 3.16s, Estimated Time Left = 65.22s
After 28000 sentences: Train Accuracy = 0.9600, Dev Accuracy = 0.9349, Time = 3.15s, Estimated Time Left = 62.02s
After 28500 sentences: Train Accuracy = 0.9589, Dev Accuracy = 0.9347, Time = 3.15s, Estimated Time Left = 58.79s
After 29000 sentences: Train Accuracy = 0.9590, Dev Accuracy = 0.9369, Time = 3.15s, Estimated Time Left = 55.62s
After 29500 sentences: Train Accuracy = 0.9581, Dev Accuracy = 0.9371, Time = 3.15s, Estimated Time Left = 52.42s
After 30000 sentences: Train Accuracy = 0.9638, Dev Accuracy = 0.9390, Time = 3.14s, Estimated Time Left = 49.23s
After 30500 sentences: Train Accuracy = 0.9599, Dev Accuracy = 0.9392, Time = 3.14s, Estimated Time Left = 46.05s
After 31000 sentences: Train Accuracy = 0.9617, Dev Accuracy = 0.9409, Time = 3.14s, Estimated Time Left = 42.88s
After 31500 sentences: Train Accuracy = 0.9636, Dev Accuracy = 0.9407, Time = 3.14s, Estimated Time Left = 39.72s
After 32000 sentences: Train Accuracy = 0.9670, Dev Accuracy = 0.9402, Time = 3.13s, Estimated Time Left = 36.56s
After 32500 sentences: Train Accuracy = 0.9644, Dev Accuracy = 0.9399, Time = 3.13s, Estimated Time Left = 33.39s
After 33000 sentences: Train Accuracy = 0.9641, Dev Accuracy = 0.9407, Time = 3.13s, Estimated Time Left = 30.24s
After 33500 sentences: Train Accuracy = 0.9636, Dev Accuracy = 0.9417, Time = 3.13s, Estimated Time Left = 27.11s
After 34000 sentences: Train Accuracy = 0.9605, Dev Accuracy = 0.9399, Time = 3.13s, Estimated Time Left = 23.97s
After 34500 sentences: Train Accuracy = 0.9628, Dev Accuracy = 0.9426, Time = 3.13s, Estimated Time Left = 20.84s
After 35000 sentences: Train Accuracy = 0.9648, Dev Accuracy = 0.9427, Time = 3.12s, Estimated Time Left = 17.70s
After 35500 sentences: Train Accuracy = 0.9695, Dev Accuracy = 0.9429, Time = 3.12s, Estimated Time Left = 14.56s
After 36000 sentences: Train Accuracy = 0.9674, Dev Accuracy = 0.9438, Time = 3.12s, Estimated Time Left = 11.43s
After 36500 sentences: Train Accuracy = 0.9683, Dev Accuracy = 0.9439, Time = 3.12s, Estimated Time Left = 8.31s
After 37000 sentences: Train Accuracy = 0.9652, Dev Accuracy = 0.9423, Time = 3.12s, Estimated Time Left = 5.19s
After 37500 sentences: Train Accuracy = 0.9686, Dev Accuracy = 0.9433, Time = 3.12s, Estimated Time Left = 2.07s
Epoch 1: Train Loss = 156.1864, Dev Loss = 423.2449
Epoch 1: Loss = 423.2449
After 500 sentences: Train Accuracy = 0.9686, Dev Accuracy = 0.9427, Time = 3.09s, Estimated Time Left = 230.43s
After 1000 sentences: Train Accuracy = 0.9695, Dev Accuracy = 0.9439, Time = 3.08s, Estimated Time Left = 226.74s
After 1500 sentences: Train Accuracy = 0.9724, Dev Accuracy = 0.9447, Time = 3.07s, Estimated Time Left = 223.13s
After 2000 sentences: Train Accuracy = 0.9712, Dev Accuracy = 0.9437, Time = 3.14s, Estimated Time Left = 225.05s
After 2500 sentences: Train Accuracy = 0.9690, Dev Accuracy = 0.9444, Time = 3.13s, Estimated Time Left = 221.44s
After 3000 sentences: Train Accuracy = 0.9715, Dev Accuracy = 0.9443, Time = 3.13s, Estimated Time Left = 218.22s
After 3500 sentences: Train Accuracy = 0.9726, Dev Accuracy = 0.9450, Time = 3.11s, Estimated Time Left = 213.83s
After 4000 sentences: Train Accuracy = 0.9739, Dev Accuracy = 0.9441, Time = 3.10s, Estimated Time Left = 209.57s
After 4500 sentences: Train Accuracy = 0.9726, Dev Accuracy = 0.9453, Time = 3.11s, Estimated Time Left = 207.06s
After 5000 sentences: Train Accuracy = 0.9757, Dev Accuracy = 0.9446, Time = 3.09s, Estimated Time Left = 203.18s
After 5500 sentences: Train Accuracy = 0.9691, Dev Accuracy = 0.9447, Time = 3.10s, Estimated Time Left = 200.34s
