After 500 sentences: Train Accuracy = 0.0451, Dev Accuracy = 0.0369, Time = 3.72s, Estimated Time Left = 107.92s
After 1000 sentences: Train Accuracy = 0.3607, Dev Accuracy = 0.2990, Time = 3.59s, Estimated Time Left = 100.55s
After 1500 sentences: Train Accuracy = 0.4544, Dev Accuracy = 0.3977, Time = 3.49s, Estimated Time Left = 94.22s
After 2000 sentences: Train Accuracy = 0.5338, Dev Accuracy = 0.5037, Time = 3.46s, Estimated Time Left = 89.86s
After 2500 sentences: Train Accuracy = 0.5732, Dev Accuracy = 0.5086, Time = 3.44s, Estimated Time Left = 85.85s
After 3000 sentences: Train Accuracy = 0.6745, Dev Accuracy = 0.6022, Time = 3.44s, Estimated Time Left = 82.37s
After 3500 sentences: Train Accuracy = 0.6766, Dev Accuracy = 0.5841, Time = 3.43s, Estimated Time Left = 78.69s
After 4000 sentences: Train Accuracy = 0.7066, Dev Accuracy = 0.6471, Time = 3.42s, Estimated Time Left = 75.06s
After 4500 sentences: Train Accuracy = 0.7462, Dev Accuracy = 0.6676, Time = 3.42s, Estimated Time Left = 71.81s
After 5000 sentences: Train Accuracy = 0.7591, Dev Accuracy = 0.6795, Time = 3.42s, Estimated Time Left = 68.28s
After 5500 sentences: Train Accuracy = 0.7345, Dev Accuracy = 0.6793, Time = 3.41s, Estimated Time Left = 64.65s
After 6000 sentences: Train Accuracy = 0.8000, Dev Accuracy = 0.6928, Time = 3.40s, Estimated Time Left = 61.05s
After 6500 sentences: Train Accuracy = 0.8142, Dev Accuracy = 0.6964, Time = 3.40s, Estimated Time Left = 57.71s
After 7000 sentences: Train Accuracy = 0.8031, Dev Accuracy = 0.7015, Time = 3.39s, Estimated Time Left = 54.21s
After 7500 sentences: Train Accuracy = 0.8263, Dev Accuracy = 0.7075, Time = 3.39s, Estimated Time Left = 50.71s
After 8000 sentences: Train Accuracy = 0.8148, Dev Accuracy = 0.7288, Time = 3.38s, Estimated Time Left = 47.24s
After 8500 sentences: Train Accuracy = 0.8474, Dev Accuracy = 0.7373, Time = 3.38s, Estimated Time Left = 43.84s
After 9000 sentences: Train Accuracy = 0.8394, Dev Accuracy = 0.7269, Time = 3.37s, Estimated Time Left = 40.39s
After 9500 sentences: Train Accuracy = 0.8253, Dev Accuracy = 0.7438, Time = 3.37s, Estimated Time Left = 36.99s
After 10000 sentences: Train Accuracy = 0.8662, Dev Accuracy = 0.7377, Time = 3.37s, Estimated Time Left = 33.59s
