After 500 sentences: Train Accuracy = 0.7633, Dev Accuracy = 0.7741, Time = 3.80s, Estimated Time Left = 283.55s
After 1000 sentences: Train Accuracy = 0.8647, Dev Accuracy = 0.8573, Time = 3.39s, Estimated Time Left = 249.78s
After 1500 sentences: Train Accuracy = 0.8967, Dev Accuracy = 0.8836, Time = 3.24s, Estimated Time Left = 235.25s
After 2000 sentences: Train Accuracy = 0.9110, Dev Accuracy = 0.8988, Time = 3.16s, Estimated Time Left = 226.36s
After 2500 sentences: Train Accuracy = 0.9131, Dev Accuracy = 0.9044, Time = 3.15s, Estimated Time Left = 222.78s
After 3000 sentences: Train Accuracy = 0.9122, Dev Accuracy = 0.9116, Time = 3.13s, Estimated Time Left = 218.26s
After 3500 sentences: Train Accuracy = 0.9277, Dev Accuracy = 0.9195, Time = 3.12s, Estimated Time Left = 214.34s
After 4000 sentences: Train Accuracy = 0.9263, Dev Accuracy = 0.9168, Time = 3.11s, Estimated Time Left = 210.29s
After 4500 sentences: Train Accuracy = 0.9271, Dev Accuracy = 0.9229, Time = 3.10s, Estimated Time Left = 206.66s
After 5000 sentences: Train Accuracy = 0.9319, Dev Accuracy = 0.9264, Time = 3.09s, Estimated Time Left = 203.09s
After 5500 sentences: Train Accuracy = 0.9388, Dev Accuracy = 0.9273, Time = 3.10s, Estimated Time Left = 200.45s
After 6000 sentences: Train Accuracy = 0.9384, Dev Accuracy = 0.9283, Time = 3.10s, Estimated Time Left = 197.58s
After 6500 sentences: Train Accuracy = 0.9369, Dev Accuracy = 0.9285, Time = 3.10s, Estimated Time Left = 194.35s
After 7000 sentences: Train Accuracy = 0.9383, Dev Accuracy = 0.9321, Time = 3.10s, Estimated Time Left = 191.22s
After 7500 sentences: Train Accuracy = 0.9401, Dev Accuracy = 0.9327, Time = 3.10s, Estimated Time Left = 187.92s
After 8000 sentences: Train Accuracy = 0.9424, Dev Accuracy = 0.9361, Time = 3.10s, Estimated Time Left = 184.94s
After 8500 sentences: Train Accuracy = 0.9474, Dev Accuracy = 0.9371, Time = 3.10s, Estimated Time Left = 181.72s
After 9000 sentences: Train Accuracy = 0.9457, Dev Accuracy = 0.9370, Time = 3.10s, Estimated Time Left = 178.75s
After 9500 sentences: Train Accuracy = 0.9421, Dev Accuracy = 0.9361, Time = 3.11s, Estimated Time Left = 175.96s
After 10000 sentences: Train Accuracy = 0.9436, Dev Accuracy = 0.9359, Time = 3.10s, Estimated Time Left = 172.75s
After 10500 sentences: Train Accuracy = 0.9424, Dev Accuracy = 0.9387, Time = 3.11s, Estimated Time Left = 169.84s
After 11000 sentences: Train Accuracy = 0.9510, Dev Accuracy = 0.9415, Time = 3.11s, Estimated Time Left = 167.00s
After 11500 sentences: Train Accuracy = 0.9437, Dev Accuracy = 0.9412, Time = 3.11s, Estimated Time Left = 163.86s
After 12000 sentences: Train Accuracy = 0.9538, Dev Accuracy = 0.9471, Time = 3.12s, Estimated Time Left = 161.07s
After 12500 sentences: Train Accuracy = 0.9534, Dev Accuracy = 0.9452, Time = 3.12s, Estimated Time Left = 157.82s
After 13000 sentences: Train Accuracy = 0.9542, Dev Accuracy = 0.9455, Time = 3.12s, Estimated Time Left = 154.90s
After 13500 sentences: Train Accuracy = 0.9530, Dev Accuracy = 0.9476, Time = 3.12s, Estimated Time Left = 151.77s
After 14000 sentences: Train Accuracy = 0.9563, Dev Accuracy = 0.9474, Time = 3.12s, Estimated Time Left = 148.83s
After 14500 sentences: Train Accuracy = 0.9475, Dev Accuracy = 0.9444, Time = 3.12s, Estimated Time Left = 145.81s
After 15000 sentences: Train Accuracy = 0.9553, Dev Accuracy = 0.9448, Time = 3.13s, Estimated Time Left = 142.71s
After 15500 sentences: Train Accuracy = 0.9578, Dev Accuracy = 0.9460, Time = 3.12s, Estimated Time Left = 139.42s
After 16000 sentences: Train Accuracy = 0.9623, Dev Accuracy = 0.9471, Time = 3.12s, Estimated Time Left = 136.12s
After 16500 sentences: Train Accuracy = 0.9590, Dev Accuracy = 0.9485, Time = 3.12s, Estimated Time Left = 132.95s
After 17000 sentences: Train Accuracy = 0.9601, Dev Accuracy = 0.9486, Time = 3.12s, Estimated Time Left = 129.96s
After 17500 sentences: Train Accuracy = 0.9616, Dev Accuracy = 0.9484, Time = 3.12s, Estimated Time Left = 126.95s
After 18000 sentences: Train Accuracy = 0.9660, Dev Accuracy = 0.9503, Time = 3.12s, Estimated Time Left = 123.73s
After 18500 sentences: Train Accuracy = 0.9604, Dev Accuracy = 0.9521, Time = 3.12s, Estimated Time Left = 120.58s
After 19000 sentences: Train Accuracy = 0.9652, Dev Accuracy = 0.9518, Time = 3.12s, Estimated Time Left = 117.42s
After 19500 sentences: Train Accuracy = 0.9609, Dev Accuracy = 0.9500, Time = 3.12s, Estimated Time Left = 114.29s
After 20000 sentences: Train Accuracy = 0.9619, Dev Accuracy = 0.9503, Time = 3.12s, Estimated Time Left = 111.11s
After 20500 sentences: Train Accuracy = 0.9598, Dev Accuracy = 0.9520, Time = 3.11s, Estimated Time Left = 107.95s
After 21000 sentences: Train Accuracy = 0.9690, Dev Accuracy = 0.9520, Time = 3.11s, Estimated Time Left = 104.70s
After 21500 sentences: Train Accuracy = 0.9637, Dev Accuracy = 0.9538, Time = 3.11s, Estimated Time Left = 101.53s
After 22000 sentences: Train Accuracy = 0.9670, Dev Accuracy = 0.9540, Time = 3.11s, Estimated Time Left = 98.41s
After 22500 sentences: Train Accuracy = 0.9700, Dev Accuracy = 0.9551, Time = 3.11s, Estimated Time Left = 95.40s
After 23000 sentences: Train Accuracy = 0.9668, Dev Accuracy = 0.9544, Time = 3.11s, Estimated Time Left = 92.36s
After 23500 sentences: Train Accuracy = 0.9666, Dev Accuracy = 0.9540, Time = 3.12s, Estimated Time Left = 89.30s
